"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bauers, Jake",641343,2026,74,20.3,9.5,".327",".356",28.8,11.5,51.9,"103.016744615","96.469187115",27.4,47.9
"Paredes, Isaac",670623,2026,79,20.3,8.9,".322",".286",34.6,3.8,26.9,"96.398411923","92.398400577",20.5,45.1
"Butler, Lawrence",671732,2026,79,24.1,8.9,".269",".318",30.2,5.7,50.9,"104.168589231","96.612575192",28.2,46.3
"García, Adolis",666969,2026,89,28.1,10.1,".295",".317",37.7,11.3,49.1,"101.451601852","95.482378302",30.5,44.1
"Robert Jr., Luis",673357,2026,82,19.5,14.6,".341",".350",20.4,3.7,44.4,"102.509842963","95.828609074",25,44.7
"Caballero, José",676609,2026,78,24.4,5.1,".278",".265",37,3.7,35.2,"97.896030769","92.950766346",29.2,49.4
"Nuñez, Nasim",683083,2026,79,19,10.1,".230",".262",30.9,0,20,"94.4071212","91.2771032",24.2,49.7
"Reynolds, Bryan",668804,2026,97,25.8,16.5,".362",".365",36.4,9.1,43.6,"101.8710825","95.316031455",29.9,42.4
"Varsho, Daulton",662139,2026,76,15.8,9.2,".340",".314",35.7,5.4,33.9,"96.918927143","92.465169464",17.9,54.1
"McLain, Matt",680574,2026,97,24.7,15.5,".281",".316",26.8,8.9,30.4,"97.312939643","92.867027455",24.5,41.8
"Frelick, Sal",686217,2026,79,15.2,11.4,".268",".274",21.4,1.8,21.4,"95.741449643","91.943663273",14.5,42.1
"Jung, Josh",673962,2026,76,18.4,7.9,".361",".348",42.9,1.8,55.4,"100.809595","95.168447321",19.3,46.9
"Sánchez, Jesús",660821,2026,74,16.2,5.4,".309",".379",37.5,7.1,48.2,"102.036421786","95.475125357",22.7,55.6
"McNeil, Jeff",643446,2026,78,14.1,10.3,".325",".323",33.3,0,33.3,"96.453544138","92.31226386",19.9,51.5
"Laureano, Ramón",657656,2026,85,24.7,7.1,".366",".382",35.1,15.8,50.9,"101.021809655","95.45620193",28.6,53
"Wood, James",695578,2026,112,32.1,15.2,".386",".427",33.3,28.1,66.7,"108.091335517","100.350281228",35.2,38.4
"Cruz, Oneil",665833,2026,99,32.3,9.1,".396",".367",36.8,21.1,63.2,"108.380496552","100.138337544",39.2,44.6
"Greene, Riley",682985,2026,94,23.4,14.9,".349",".389",36.2,13.8,50,"102.68019","95.960049655",29,42.8
"Harris II, Michael",671739,2026,78,19.2,6.4,".356",".414",29.3,15.5,53.4,"104.807082414","97.228243509",26.3,54
"Durbin, Caleb",702332,2026,77,13,9.1,".238",".280",24.1,1.7,32.8,"97.141288571","92.733455357",15.8,40.4
"Buxton, Byron",621439,2026,90,25.6,7.8,".316",".301",32.2,13.6,45.8,"100.070509333","94.293441864",32.1,50.9
"Crow-Armstrong, Pete",691718,2026,92,27.2,5.4,".259",".251",18.3,5,45,"102.105911429","95.426215714",25.8,57.6
"Busch, Michael",683737,2026,88,20.5,11.4,".223",".255",23.3,3.3,28.3,"95.651990667","91.833280333",24.3,44.3
"García Jr., Luis",671277,2026,76,15.8,5.3,".257",".290",23.3,6.7,41.7,"101.053511724","94.843860172",16.2,53
"Vargas, Miguel",678246,2026,92,16.3,15.2,".312",".331",37.7,9.8,44.3,"99.934717097","94.393074098",17.4,42.8
"Aranda, Jonathan",666018,2026,99,22.2,16.2,".327",".352",39.3,8.2,45.9,"99.999034839","94.551638689",21.1,45.1
"Ramírez, Agustín",682663,2026,91,23.1,8.8,".296",".275",26.2,6.6,36.1,"100.354675806","94.317467213",31.8,50.9
